name,birthdate,bio,area,employer,headcount,Уровень образования,Профессиональные навыки,Личные качества,Знание языков,Категории водительских прав,Обязанности,Курсы и сертификаты
Учитель казахского языка и литературы,,,,,,высшее,Моделирование урока;Преподавание предметов на казахском языке;Ведение учебной документации;Работа с обучаемыми;Владение современными технологиями и методиками преподавания,Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Целеустремленность;Аккуратность;Вежливость;Работа в MS Office,,,,
Врач общей практики,,,,,,послевузовское,"Оказание квалифицированной, скорой и других видов медицинской помощи",Ответственность,,,,
Сторож,от 110 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Надзор за сохранностью имущества;Надзор за сохранностью сооружений;Охрана производителей,Адаптивность,,"B, C",,
Web-разработчик,от 900 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Кодирование и реализация web-ресурса,Адаптивность;Ответственность,,B,,
Администратор офиса,от 250 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Организация документооборота,Ответственность,,,,
Учитель начальных классов,от 250 000 тенге,,,,,техническое и профессиональное,Работа с обучаемыми;Организация учебно-воспитательного процесса;Разработка обучающих программ;Определение  четких  целей  уроков;Обеспечение методического сопровождения педагогического процесса;Проведение занятия для творческого развития детей,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Терпеливость;Умение работать в команде;Целеустремленность;Дисциплинированность;Аккуратность;Аналитическое мышление;Вежливость;Доброжелательность;Выносливость и усердие;Письменные коммуникативные навыки;Устные коммуникативные навыки;Концентрация и управление вниманием;Поиск и анализ информации;Проектное мышление;Добропорядочность,,,,
SMM-менеджер,от 240 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Разработка маркетинговых мероприятий для продвижения товара;Проведение переговоров и формирование коммерческих документов и соглашений;Информирование о маркетинговых акциях, продуктах и специальных предложений;Умение продвигать товары и услуги",Адаптивность;Ответственность,,,,
Учитель технологии,от 300 000 тенге,,,,,высшее,Развитие творческих способностей учащихся;Преподавание предметов на русском языке;Планирование учебного занятия;Моделирование урока;Наставничество и обучение,Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность,Казахский - высокий уровеньРусский - высокий уровеньАнглийский - начальный уровень,B1,,"Сертификат GDP-Надлежащая дистрибьюторская практикаGDP–этоодна из систем контроля качества, обеспечивающая качество фармацевтической продукции, которое гарантируется соответствующим контролем действий, совершаемых в ходе дистрибуции, а также инструмент, обеспечивающий защиту организации от фальсифицированных, недоброкачественных и незаконных копий лекарственных средств и изделий медицинского назначения.Сертификат Бухгалтера-Можно назвать такие обычные для бухгалтера обязанности как:работа с первичными документами (прием, составление, обработка и т.д.);ведение бухгалтерского учета (фиксация на счетах бухучета операций, имущества и обязательств);начисление заработной платы работникам и исчисление налогов с зарплаты;ведение кадрового учета;оформление расчетов с контрагентами;начисление и перечисление налогов;подготовка и сдача бухгалтерской и налоговой отчетности и.т.д.Курс Дизайнер интерьераДизайнер интерьера — это специалист, который занимается разработкой эстетически привлекательных, функциональных и удобных интерьерных решений для жилых и коммерческих помещений. Это творческая и практическая деятельность, связанная с созданием и преобразованием внутреннего пространства. Цель дизайнера интерьера - создать интерьер, который отвечает требованиям и предпочтениям клиента, а также соответствует их бюджету."
Подсобный рабочий,от 100 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),Предотвращение проникновения инфекции в растения;Уход за растениями во время  вегетации,Адаптивность,,,,
Водитель автомобиля,,,,,,высшее,Безопасное управление различными машинами;Ремонт и замена частей автомобиля;Умение водить автомобиль;Осмотр легкового автомобиля и подготовка к поездке;Перевозка пассажиров и багажа;Знание правил дорожного движения,Адаптивность;Самостоятельность и ответственность;Стрессоустойчивость,,B,,
Учитель казахского языка и литературы,от 250 000 тенге,,,,,высшее,Работа с обучаемыми;Моделирование урока;Ведение учебной документации;Преподавание предметов на казахском языке;Агрохимические приемы возделывания культур;Выращивание высококачественных сортов семян,Ответственность;Пунктуальность,Казахский - высокий уровеньРусский - продвинутый уровеньАнглийский - начальный уровень,,,"""Цифрлық сауаттылық негіздері және ААЖ-да жұмыс істеу Кundelik.kz ҚР жалпы білім беретін мектептерінің мұғалімдері үшін"" тақырыбы бойынша 72 сағат көлемінде біліктілікті арттыру онлайн-курсы, ""Күнделік ЖШС"" 07.10.2022ж.""Мектептегі ""Қазақ тілі"" мен ""Қазақ әдебиеті"" сабақтары: басымдықтар және жетілдіру стратегиялары"" білім беру бағдарламалары бойынша 120 академиялық сағат көлеміндегі курс, ПШО, 06.06.2022ж.""Педагогикалық цифрлық құзырлығын дамыту"" ""Өрлеу БАҰО"" 18.09.2021ж.Сертификат: ""Цифрлық сауаттылық"" 04.06.2021ж.Қазақстан Республикасында білім беру мазмұнын жаңарту шеңберінде орыс тілді мектептердегі ""Қазақ тілі мен әдебиеті"" пәні бойынша педагог кадрлардың біліктілігін арттыру білім беру бағдарламасы бойынша 160 академиялық сағат көлеміндегі оқу курсы, ""Өрлеу БАҰО""  қараша 2020ж.""Мүмкіндігі шектеулі балалармен жұмыс"" тақырыбындағы 72 сағаттық оқу курсы, 02.10.2020ж.""Білім беру мазмұнын жаңарту жағдайында қазақ тілі мен әдебиеті пәні бойынша оқыту процесін жобалау"" тақырыбындағы 36 сағат көлеміндегі біліктілікті арттыру оқу курсы, ""Өрлеу БАҰО"" 04.10.2019ж.""Қазақ тілі мен әдебиеті мамандығынан ""Өзге ұлт өкілдеріне қазақ тілі мен әдебиеті оқыту әдістемесі"" тақырыбындағы 72 сағат көлеміндегі оқу курсы,  ОҚМПУ, ""ЮКГУ"" жауапкершілігі шектеулі серіктестігі, 31.05.2019ж."
Тренер-преподаватель по спорту,от 750 000 тенге,,,,,высшее,Планирование тренировочного процесса;Оказание первой медицинской помощи;Владение методикой обучения военной подготовки;Моделирование учебно-тренировочных занятий,"Ответственность;Пунктуальность;Самостоятельность и ответственность;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Умение быстро принимать решения;Умение работать в команде;Дисциплинированность;Эмоциональный интеллект;Аналитическое мышление;Вежливость;Устные коммуникативные навыки;Письменные коммуникативные навыки;Мотивированность;Навык ведения переговоров;Наставничество (менторинг, коучинг);Проектное мышление;Добропорядочность;Тайм-менеджмент;Лидерство;Логическое мышление;Многозадачность",,"A, B",,
Горничная,от 200 000 тенге,,,,,общее среднее (с 1 по 11/12 классы),"Уборка общественных зон и служебных помещений;Стирка и глажка белья и мелкий ремонт;Контроль качества уборки и комплектации номеров, общественных помещений;Работа по обслуживанию гостей в номера;Уборка номерного фонда отеля после выезда гостей;Генеральная уборка номерного фонда;Текущая уборка номерного фонда отеля",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Системное мышление;Сотрудничество и взаимодействие;Стрессоустойчивость;Терпеливость;Гибкость мышления;Умение быстро принимать решения;Умение работать в команде;Управление изменениями;Целеустремленность;Дисциплинированность;Аккуратность;Вежливость;Доброжелательность;Выносливость и усердие;Способность к обучению и самообучению;Творчество и креативность;Знание продукта;Контроль рабочих процессов;Логическое рассуждение;Проведение опросов и исследований;Проведение обзоров и мониторинг цен;Работа в MS Office;Работа в условиях неопределенности,,,,
Учитель казахского языка и литературы,от 300 000 тенге,,,,,высшее,Работа с обучаемыми;Ведение учебной документации;Преподавание предметов на казахском языке,Ответственность;Самостоятельность и ответственность;Терпеливость;Умение работать в команде;Аккуратность,Казахский - высокий уровень,,,
name,birthdate,bio,area,employer,headcount,Тип занятости,График работы,Условия труда,Стажировка,Опыт работы,Образование,Рабочих мест,Обязанности,Профессиональные навыки,Личные качества,Знание языков,Регион,Место работы,Категории водительских прав,Требования к квалификации
Воспитатель,от 110 000 до 130 000 тенге,Образование и воспитание,Дошкольное образование,"Коммунальное государственное казенное предприятие ""Ясли-сад №178"" Управления образования города Алматы",Количество работников: 54,постоянная,полный рабочий день,нормальные,Не предполагается,2 года,высшее,2,,"Проведение воспитательных мероприятий;Знание методов диагностики личностного потенциала обучающего;Сотрудничество с родителями, социальными партнерами;",Ответственность;,,"г. Алматы, Ауэзовский район","12 мкр., дом 11/1",,
Швея,от 85 000 до 85 000 тенге,Индивидуальные услуги и сервис,Дошкольное образование,"Коммунальное государственное казенное предприятие ""Ясли-сад №178"" Управления образования города Алматы",Количество работников: 54,постоянная,неполный рабочий день,нормальные,Не предполагается,2 года, техническое и профессиональное,1,Пошив детской и взрослой одежды,Работа на швейном оборудовании различного типа;Работы по пошиву изделий по индивидуальным заказам;,Адаптивность;Ответственность;,Казахский / высокий уровень,"г. Алматы, Ауэзовский район","12 мкр., дом 11/1",,
Главный бухгалтер,от 250 000 тенге,Финансы и бухучет,Деятельность музеев,"республиканское государственное казенное предприятие ""Государственная коллекция уникальных смычковых музыкальных инструментов"" Комитета культуры Министерства культуры и информации Республики Казахстан""",РГКП,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,послевузовское,1,"Бухгалтерский учёт, планирование бюджета.","Ведение учета, планирование и отчетность;Планирование и контроль по видам деятельности;Проведение оценки состояния вопросов исполнения бюджетов;",Ответственность;,Русский / средний уровень,"г. Алматы, Медеуский район",Самал 1 дом 44,,
Укладчик-упаковщик,от 228 000 тенге,Профессии без квалификации,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,"ТОО ""Хлебобараночный комбинат ""Аксай""",Количество работников: 1280,постоянная,посменный,нормальные,Не предполагается,Опыт не требуется,   общее среднее (с 1 по 11/12 классы),39,""">- Вести технологический процесс разделки тестовых заготовок"">- Осуществлять процесс разделки теста на тестоделительном оборудовании с требованиями технологических инструкций"">- Осуществлять выборочный контроль веса тестовых заготовок"">-Осуществлять укладку стандартной готовой продукции в контейнера, лотки, вагонетки, корзины в соответствии с установленными нормами укладки"">- Осуществлять отбраковку несоответствующей продукции и обеспечить ее укладку в контейнера с маркировкой &laquoнесоответствующая продукция&raquo"">- Осуществлять упаковку хлебобулочных, сдобных, мучных-кондитерских изделий в ассортименте в соответствии с требованиями технологических инструкции и с соблюдением норм расхода&nbsp","Упаковка, взвешивание, маркировка;Бесперебойное упаковывание продукции;Маркировка и упаковка;Фасовка и упаковка;",Ответственность;,,г. Алматы,мкр.Аксай-2 ул. Момышулы 36 А,,
Лаборант санитарно-эпидемиологической службы,от 150 000 до 200 000 тенге,Медицина и фармацевтика,Прочая деятельность в области здравоохранения,"Филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан по городу Алматы","Филиал РГП на ПХВ ""Национальный центр экспертизы"" КСЭК МЗ РК по г. Алматы",постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется, техническое и профессиональное,3,""">Должностные обязанности:Профессиональные навыкиОсуществление санитарно-эпидемиологического надзора объектов;Адаптивность;Пунктуальность;Стрессоустойчивость;Аккуратность;Русский / высокий уровеньКазахский / высокий уровеньАнглийский / начальный уровеньг. Алматы, Медеуский район3А ЖІБЕК ЖОЛЫ Даңғылы",,Адаптивность;Пунктуальность;Стрессоустойчивость;Аккуратность;,Русский / высокий уровеньКазахский / высокий уровеньАнглийский / начальный уровень,"г. Алматы, Медеуский район",3А ЖІБЕК ЖОЛЫ Даңғылы,,
Врач-эпидемиолог,от 200 000 до 300 000 тенге,Медицина и фармацевтика,Прочая деятельность в области здравоохранения,"Филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан по городу Алматы","Филиал РГП на ПХВ ""Национальный центр экспертизы"" КСЭК МЗ РК по г. Алматы",постоянная,полный рабочий день,нормальные,Не предполагается,1 год,высшее,2,""">Должностные обязанности:Профессиональные навыкиСанитарно-эпидемиологическое обследование с использованием современных устройств;Адаптивность;Ответственность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Дисциплинированность;Проектное мышление;Многозадачность;Казахский / высокий уровеньРусский / высокий уровеньАнглийский / начальный уровеньг. Алматы, Медеуский район3А ЖІБЕК ЖОЛЫ Даңғылы",,Адаптивность;Ответственность;Самостоятельность и ответственность;Стрессоустойчивость;Терпеливость;Дисциплинированность;Проектное мышление;Многозадачность;,Казахский / высокий уровеньРусский / высокий уровеньАнглийский / начальный уровень,"г. Алматы, Медеуский район",3А ЖІБЕК ЖОЛЫ Даңғылы,,
Менеджер по закупкам,от 150 000 тенге,Финансы и бухучет,Деятельность музеев,"республиканское государственное казенное предприятие ""Государственная коллекция уникальных смычковых музыкальных инструментов"" Комитета культуры Министерства культуры и информации Республики Казахстан""",РГКП,постоянная,полный рабочий день,нормальные,Не предполагается,3 года, техническое и профессиональное,1,"Ведение госзакупок, кадровая работа","Обработка результатов закупки, заключение контракта;Составление планов и обоснование закупок;Участие в тендерах, подготовка коммерческих предложений;",Самостоятельность и ответственность;Сотрудничество и взаимодействие;,Казахский / средний уровень,"г. Алматы, Медеуский район",Самал 1 дом 44,,
Экономист,от 200 000 до 250 000 тенге,Финансы и бухучет,Прочая деятельность в области здравоохранения,"Филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный центр экспертизы"" Комитета санитарно-эпидемиологического контроля Министерства здравоохранения Республики Казахстан по городу Алматы","Филиал РГП на ПХВ ""Национальный центр экспертизы"" КСЭК МЗ РК по г. Алматы",постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,""">Должностные обязанности:выполняет работу по осуществлению экономической деятельности организацииведет учет экономических показателей результатов производственной деятельности организации и ее подразделений, а также учет заключенных договоров"">подготавливает периодическую отчетность в установленные срокивносит изменения в справочную и нормативную информацию, используемую при обработке данных",Контроль финансово-экономической деятельности организации;,Адаптивность;Гибкость мышления;Целеустремленность;Дисциплинированность;Контроль рабочих процессов;Логическое мышление;,Казахский / высокий уровеньРусский / высокий уровень,"г. Алматы, Медеуский район",3А ЖІБЕК ЖОЛЫ Даңғылы,,
Административный секретарь,от 120 000 до 150 000 тенге,HR и секретариат,Деятельность в области статистики и социологии,"Республиканское государственное учреждение ""Департамент Бюро национальной статистики Агентства по стратегическому планированию и реформам Республики Казахстан по городу Алматы""",Сбор и обработка статистической информации,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,1,,"Прием и распределение входящих звонков;Прием и доставка (вручение) корреспонденции, уведомлений, извещений;Ведение делопроизводства;Регистрация входящей и исходящей информации;Встреча и учет посетителей;Учет и хранение, передача документов в подразделения;",Адаптивность;Ответственность;Пунктуальность;,Казахский / высокий уровеньРусский / высокий уровень,"г. Алматы, Алмалинский район","пр. Абая, 125",,
Маркетолог,от 350 000 до 500 000 тенге,Маркетинг и СМИ,Прочая вспомогательная деятельность в области образования,"Товарищество с ограниченной ответственностью ""Just Speak It""",Ну давай знакомиться!,постоянная,полный рабочий день,нормальные,Не предполагается,3 года,высшее,1,""">Какого сотрудника мы видим в наших рядах:Опыт работы в сфере образования маркетологом от 2-х лет"">Позитивное и креативное мышление"">Ответственность и умение принимать решение самостоятельно"">Умение презентовать свои идеи"">Открытость к новому, а именно трендовые идеи для продвижения бренда компании"">Знания в сфере СММ, таргете для лучшего контроляОпыт в менеджменте​​​​​​​Что мы ожидаем от кандидата (задачи):Конкурентный анализ (каждый месяц)"">Анализ рынка (каждый месяц)"">Разработка и реализация стратегии"">Постоянный анализ о результатах проделанной работы"">Продвижение школы, бренда"">Медиа-планирования и запуск рекламных компании"">Увеличение спроса на услугу компании и продаж"">Развитие коммуникации и повысить узнаваемость бренда"">Генерация лидов для отдела продаж",Маркетинговая деятельность;Разработка маркетинговых мероприятий для продвижения товара;Проведение анализа требований потребителей согласно результатам маркетинговых исследований;Умение продвигать товары и услуги;,Ответственность;Понимание бизнеса;Умение работать в команде;Мотивированность;,,г. Алматы,,,
Помощник воспитателя,от 85 000 до 95 000 тенге,Образование и воспитание,Дошкольное образование,"Коммунальное государственное казенное предприятие ""Ясли-сад №178"" Управления образования города Алматы",Количество работников: 54,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется,  послесреднее,2,,"уборка помещения, помощ воспитателю;Проведение воспитательных мероприятий;",Адаптивность;Стрессоустойчивость;,Казахский / высокий уровень,г. Алматы,12 микр,,
Секретарь,от 85 000 до 85 000 тенге,HR и секретариат,Дошкольное образование,"Коммунальное государственное казенное предприятие ""Ясли-сад №178"" Управления образования города Алматы",Количество работников: 54,постоянная,полный рабочий день,нормальные,Не предполагается,Опыт не требуется, техническое и профессиональное,1,"Ведение информационных ресурсов ОПЕН Алматы, НОБД, Е-Отиниш","Прием и распределение входящих звонков;Ведение делопроизводства;Подготовка документации;Регистрация входящей и исходящей информации;Встреча и учет посетителей;Учет и хранение, передача документов в подразделения;Умение вести переговоры;",Адаптивность;Ответственность;Пунктуальность;Самостоятельность и ответственность;Стрессоустойчивость;Умение быстро принимать решения;Умение работать в команде;,Казахский / высокий уровень,"г. Алматы, Ауэзовский район",12 микр,,
Лаборант-исследователь (в области микробиологии),от 180 000 до 200 000 тенге,Медицина и фармацевтика,Здравоохранение и социальное обслуживание населения,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Городская поликлиника №22"" Управления общественного здравоохранения города Алматы",Количество работников: 246,постоянная,полный рабочий день,нормальные,"Предполагается, оплачивается",3 года, техническое и профессиональное,1,,"Микробиологические операции, исследования и анализы;Применение микробиологического контроля;Проведение исследований и анализов;Проверка соблюдения правил микробиологического режима;",Ответственность;Пунктуальность;Аккуратность;,,"г. Алматы, Алатауский район","мкр. Шанырак-2, ул. Жанкожа батыра 193 а",,
Старший кассир,от 85 000 тенге,,,"Филиал Товарищества с ограниченной ответственностью ""КТЖ-Грузовые перевозки"" - ""Алматинское отделение ГП""",Количество работников:,постоянная,полный рабочий день,нормальные,,3 года,  послесреднее,1,"Должностные обязанности:Ежедневный контроль справки 4775 (наличие вагонов, подлежащих таможенным операциям). При наличии на станции ТСМП с истекающим СВВ (менее 10 календарных дней) за подписью начальника станции направляет мотивированное заявление на продление СВВ в таможенный орган. На основании полученного разрешения таможенного органа на продление СВВ, формирует в ИС АСОУП сообщение 4775 и с изменением СВВ по каждому продленному ТСПМ отдельно.Ежесуточно обеспечивает контроль за своевременным оформлением товарными кассирами:-перевозочных документов-полноту и правильность начисления и взыскания всех причитающихся железной дороге платежей - тарифа, всех видов дополнительных сборов, штрафов, ежедневную раскредитовку перевозочных документов-своевременное уведомление товарными кассирами грузополучателей о прибытии грузов-ведет учет, следит  за очередностью нумерации и наличием ведомостей подачи и уборки вагонов (ГУ-46) и памяток приемосдатчиков (ГУ-45)-следит за последовательностью использования  нумерации отправок-следит за истечением сроков действия договоров на подачу и уборку вагонов-по окончании отчетных суток проверять наличие нераскредитованных перевозочных документов.Контроль разметки перевозочных документов согласно договоров подачи и уборки вагонов.Ежесуточный контроль своевременного уведомления по вагонам, размеченным на 23 путь, и их своевременной раскредитовки.Квалификационные требования:Образованиесреднее (техническое и профессиональное)Специальность в сфереОрганизация перевозок и управление движением на железнодорожном транспорте; Грузовая и коммерческая работа на железнодорожном транспортеОрганизация перевозок и управление движением на железнодорожном транспортеОпыт работыне менее 3 года, в том числе в должности товарного кассира",,,,г. Алматы,,,
Кондитер,от 195 000 тенге,Производство,Производство хлебобулочных и мучных кондитерских изделий недлительного хранения,"ТОО ""Хлебобараночный комбинат ""Аксай""",Количество работников: 1280,постоянная,полный рабочий день,нормальные,Не предполагается,1 год,  послесреднее,7,""">- Вести технологический процесс производства мучныхтребованиями технологических инструкции.- Соблюдать технологические (временные и температурные) режимы приготовления кондитерских изделий, согласно производственной рецептуре.- Осуществлять измерение критических пределов на этапе выпечки продукции.- Процесс производства продукции осуществлять в соответствии с установленными требованиями безопасности и технологическими указаниями"">- Соблюдать массу тестовых заготовок, согласно производственной рецептуре"">- Крем готовить в количестве, не превышающем потребности трех часов непрерывной работы и использовать за этот период. Для работы брать крем в количестве не более чем на тридцать минут, остальное количество крема- Производить заливку, охлаждение, нарезку и оформление мучных кондитерских изделий"">- Проводить проверку готовой продукции на соответствие органолептическим показателям качества: цвет, форма, готовность, вкус, запах"">- Соблюдать нормы расхода сырья и выхода готовой продукции в соответствии с производственной рецептурой.","Оформление массовых тортов и пирожных;Оформление печенья, песочных, пряничных изделий помадкой, глазурью, сиропом;Производство кондитерских изделий;",Ответственность;Стрессоустойчивость;Умение работать в команде;,,г. Алматы,мкр Аксай-2 ул.Момышулы 36 А,,
